Name,Email,Phone,Gender,County,Household_Size,Residence_Category,Cylinder_Size,Delivery_Time,Other_Fuel_Usage,Average_Usage_Days,Usage_Segment
David Kiptoo,david.kiptoo76@gmail,254737235264,Female,Muranga,8,Business,13kg,Afternoon,None,94,Low Users
Peter Onyango,peter.onyango12gmail.com,254785971889,Female,Migori,10,Bedsitter,13kg,Morning,None,48,Regular Users
Esther Njoroge,esther.njoroge57@gmail,254791565726,Male,West Pokot,3,Bedsitter,13kg,Afternoon,Charcoal,77,Regular Users
Joseph Kuria,joseph.kuria71gmail.com,254719825539,Female,Nakuru,4,House,13kg,Afternoon,Firewood,146,At-Risk
Mary Kuria,"mary.kuria2@gmail.com,",254791068675,Female,Nairobi,1,Business,6kg,Morning,Charcoal,111,Low Users
Faith Mutua,faith.mutua96gmail.com,254773405693,Male,Kiambu,10,Business,6kg,Morning,Charcoal,77,Regular Users
John Njoroge,john.njoroge22@gmail,254775139643,Male,Embu,10,Apartment,13kg,Morning,Charcoal,39,Heavy Users
Grace Kamau,grace.kamau83gmail.com,254729897270,Male,Wajir,9,Bedsitter,13kg,Morning,None,35,Heavy Users
John Kimani,john.kimani99gmail.com,254768510828,Male,Trans Nzoia,8,Business,50kg,Morning,Kerosene,27,Heavy Users
Lilian Karanja,lilian.karanja14@@gmail.com,254750349805,Male,Homa Bay,2,Business,Other,Morning,Firewood,141,At-Risk
Michael Mutua,michael.mutua48@@gmail.com,254749495626,Female,Baringo,9,Business,13kg,Morning,Charcoal,78,Regular Users
Faith Otieno,faith.otieno35@@gmail.com,254769143975,Male,Kwale,4,Bedsitter,Other,Morning,Charcoal,145,At-Risk
Paul Maina,paul.maina89@gmail,254758249167,Male,Uasin Gishu,5,Business,13kg,Morning,Charcoal,62,Regular Users
Faith Mugo,faith.mugo61gmail.com,254742731646,Female,Bomet,6,Bedsitter,13kg,Morning,None,137,At-Risk
Jane Mwangi,jane.mwangi81@@gmail.com,254741290456,Female,Garissa,6,Bedsitter,Other,Afternoon,Firewood,64,Regular Users
Susan Njoroge,susan.njoroge43@gmail,254703612833,Male,Vihiga,9,Business,13kg,Morning,Electricity,113,Low Users
James Njoroge,james.njoroge92@gmail,254707075709,Male,Trans Nzoia,5,House,Other,Morning,None,134,At-Risk
Ruth Ngugi,ruth.ngugi70@@gmail.com,254705256586,Male,Bomet,10,Business,13kg,Afternoon,Charcoal,138,At-Risk
Mark Kibet,mark.kibet73@gmail,254760878895,Female,Lamu,4,House,6kg,Afternoon,Charcoal,78,Regular Users
Grace Mutua,"grace.mutua33@gmail.com,",254731148582,Male,Kakamega,8,Business,13kg,Morning,Charcoal,113,Low Users
Esther Mwangi,esther.mwangi26gmail.com,254779191553,Male,Kirinyaga,5,Bedsitter,13kg,Evening,Kerosene,50,Regular Users
Mary Ngugi,mary.ngugi12@gmail,254714837932,Female,Kericho,7,Apartment,13kg,Afternoon,Electricity,113,Low Users
Ruth Cheruiyot,"ruth.cheruiyot70@gmail.com,",254787847237,Female,Laikipia,2,Bedsitter,13kg,Afternoon,Kerosene,109,Low Users
Robert Achieng,robert.achieng30@gmail,254761345803,Male,Nairobi,5,Apartment,13kg,Afternoon,Charcoal,149,At-Risk
James Onyango,james.onyango24gmail.com,254716034022,Male,Kakamega,5,House,Other,Afternoon,Charcoal,103,Low Users
Mary Otieno,mary.otieno5@gmail,254735513815,Male,Kilifi,5,Apartment,Other,Morning,None,113,Low Users
Paul Omondi,paul.omondi94gmail.com,254798163054,Male,West Pokot,6,Apartment,13kg,Afternoon,Electricity,20,Heavy Users
Susan Maina,susan.maina84@gmail,254780560128,Male,Narok,5,House,13kg,Evening,Charcoal,83,Regular Users
Jane Cheruiyot,jane.cheruiyot22@@gmail.com,254768251276,Male,Elgeyo Marakwet,10,Apartment,13kg,Morning,Firewood,61,Regular Users
Mark Otieno,mark.otieno83@gmail,254709633421,Male,Baringo,8,Bedsitter,13kg,Evening,None,59,Regular Users
Joseph Mwangi,joseph.mwangi32@gmail,254759793599,Female,Migori,6,Business,13kg,Evening,Firewood,116,Low Users
David Onyango,david.onyango42@gmail,254749910411,Female,Uasin Gishu,3,Bedsitter,13kg,Evening,None,52,Regular Users
Mercy Kibet,mercy.kibet48@gmail,254786058133,Female,Nakuru,6,Apartment,13kg,Morning,Firewood,116,Low Users
Robert Kamau,robert.kamau70@gmail,254733529925,Male,Makueni,4,Apartment,6kg,Morning,Charcoal,66,Regular Users
David Ngugi,david.ngugi30gmail.com,254726893994,Female,Nyamira,4,House,13kg,Afternoon,Charcoal,119,Low Users
Robert Mugo,robert.mugo71@gmail,254733096798,Male,West Pokot,1,House,13kg,Morning,Charcoal,87,Regular Users
David Maina,david.maina1@gmail,254785337003,Female,Muranga,9,Business,6kg,Afternoon,Kerosene,27,Heavy Users
Grace Muriuki,"grace.muriuki40@gmail.com,",254795884762,Female,Kajiado,3,Business,13kg,Morning,Charcoal,66,Regular Users
Paul Maina,paul.maina71@gmail,254793285127,Male,Meru,7,House,13kg,Evening,None,56,Regular Users
David Muriuki,david.muriuki40gmail.com,254725892329,Male,Nairobi,2,Apartment,50kg,Morning,None,136,At-Risk
David Omondi,"david.omondi91@gmail.com,",254719220933,Female,Nairobi,3,Bedsitter,13kg,Morning,Electricity,65,Regular Users
Mary Kibet,mary.kibet2@@gmail.com,254790649416,Male,Nairobi,7,House,13kg,Morning,Firewood,88,Regular Users
Michael Mugo,michael.mugo70gmail.com,254793179160,Male,Samburu,5,Business,13kg,Morning,Electricity,52,Regular Users
Michael Ngugi,michael.ngugi86@gmail,254778310217,Female,Bungoma,9,Apartment,50kg,Afternoon,Charcoal,36,Heavy Users
Peter Mutua,peter.mutua62@gmail,254757972447,Female,Kiambu,6,Apartment,13kg,Morning,Firewood,58,Regular Users
Ruth Otieno,ruth.otieno24gmail.com,254795962120,Male,Nyamira,4,Apartment,13kg,Morning,Firewood,65,Regular Users
Susan Omondi,susan.omondi10@@gmail.com,254783639324,Male,Nakuru,8,Bedsitter,13kg,Morning,Kerosene,48,Regular Users
Ruth Kiptoo,"ruth.kiptoo22@gmail.com,",254713431944,Male,Nakuru,5,Business,13kg,Afternoon,Charcoal,35,Heavy Users
Grace Mwangi,grace.mwangi70gmail.com,254748910799,Male,Mombasa,9,Apartment,13kg,Evening,Kerosene,112,Low Users
Agnes Otieno,agnes.otieno21@@gmail.com,254709396017,Male,Taita Taveta,7,Bedsitter,13kg,Evening,Firewood,86,Regular Users
Lilian Kibet,lilian.kibet91@@gmail.com,254788991679,Female,Nyamira,1,Business,13kg,Morning,Firewood,56,Regular Users
Michael Mugo,"michael.mugo26@gmail.com,",254797742731,Male,Muranga,7,Bedsitter,6kg,Evening,Electricity,112,Low Users
David Kibet,"david.kibet33@gmail.com,",254719001428,Female,Laikipia,8,House,13kg,Morning,None,86,Regular Users
Faith Kimani,"faith.kimani11@gmail.com,",254785142139,Male,Migori,10,Bedsitter,13kg,Afternoon,Electricity,126,At-Risk
Lilian Otieno,lilian.otieno63@@gmail.com,254778602449,Male,Kiambu,1,House,6kg,Morning,Charcoal,32,Heavy Users
Robert Muriuki,"robert.muriuki92@gmail.com,",254767403652,Female,Kiambu,10,House,6kg,Evening,Charcoal,115,Low Users
Michael Mutua,michael.mutua90gmail.com,254791131849,Male,Bungoma,2,Bedsitter,13kg,Evening,Charcoal,138,At-Risk
Joseph Mwangi,joseph.mwangi58@@gmail.com,254778934479,Female,Laikipia,7,Business,13kg,Evening,Charcoal,94,Low Users
Mercy Kamau,"mercy.kamau5@gmail.com,",254788571725,Female,Tharaka Nithi,8,Bedsitter,13kg,Afternoon,Electricity,111,Low Users
Susan Muriuki,susan.muriuki38@@gmail.com,254737884193,Female,Nandi,1,House,13kg,Evening,Charcoal,112,Low Users
James Mwangi,james.mwangi68@@gmail.com,254713702472,Male,Baringo,5,Apartment,13kg,Morning,Electricity,103,Low Users
Michael Njoroge,"michael.njoroge50@gmail.com,",254778461685,Female,Narok,6,House,13kg,Morning,Charcoal,146,At-Risk
Susan Omondi,susan.omondi43@gmail,254781050157,Female,Nairobi,10,House,13kg,Morning,Charcoal,33,Heavy Users
Daniel Cheruiyot,daniel.cheruiyot13gmail.com,254791578805,Male,Kitui,5,Bedsitter,13kg,Morning,None,97,Low Users
David Mutua,david.mutua76@gmail,254719467559,Female,West Pokot,1,Business,6kg,Afternoon,Kerosene,144,At-Risk
Peter Cheruiyot,peter.cheruiyot27@gmail,254778446900,Male,Kirinyaga,8,House,6kg,Morning,Electricity,47,Regular Users
Peter Kimani,peter.kimani4gmail.com,254750952609,Male,Nandi,4,Business,13kg,Afternoon,Firewood,33,Heavy Users
Joseph Achieng,"joseph.achieng18@gmail.com,",254770202607,Female,Kiambu,10,Business,13kg,Afternoon,Electricity,68,Regular Users
Joseph Achieng,"joseph.achieng59@gmail.com,",254752699746,Male,Mandera,1,Apartment,13kg,Afternoon,None,45,Heavy Users
Joseph Karanja,joseph.karanja52@@gmail.com,254785308878,Male,Laikipia,2,Business,13kg,Evening,None,48,Regular Users
Mercy Ngugi,mercy.ngugi56@@gmail.com,254715175860,Female,Turkana,1,Business,13kg,Afternoon,Electricity,88,Regular Users
Daniel Cheruiyot,daniel.cheruiyot49gmail.com,254778520176,Female,Migori,4,Apartment,6kg,Morning,Charcoal,104,Low Users
Mercy Kimani,mercy.kimani86@gmail,254712392704,Female,Homa Bay,3,House,13kg,Morning,Firewood,148,At-Risk
Robert Karanja,robert.karanja20gmail.com,254736123420,Female,Nairobi,9,Business,6kg,Evening,Electricity,102,Low Users
Robert Cheruiyot,"robert.cheruiyot29@gmail.com,",254798542031,Male,Kisumu,4,Apartment,13kg,Morning,Firewood,31,Heavy Users
Esther Achieng,esther.achieng62gmail.com,254786932669,Female,Machakos,5,Bedsitter,13kg,Morning,Kerosene,144,At-Risk
Mary Njoroge,"mary.njoroge14@gmail.com,",254739903310,Male,Nyandarua,10,House,Other,Evening,Charcoal,109,Low Users
Susan Omondi,"susan.omondi51@gmail.com,",254712321999,Male,Tharaka Nithi,8,House,6kg,Evening,Firewood,58,Regular Users
Ruth Kiptoo,ruth.kiptoo84@@gmail.com,254720022049,Male,Embu,5,House,13kg,Afternoon,Charcoal,103,Low Users
Lilian Kimani,"lilian.kimani51@gmail.com,",254792581732,Female,Nakuru,5,House,Other,Afternoon,Charcoal,56,Regular Users
Paul Njoroge,"paul.njoroge19@gmail.com,",254723819179,Male,Kwale,4,Bedsitter,13kg,Afternoon,Firewood,56,Regular Users
Mary Otieno,mary.otieno69@gmail,254788466678,Male,Nakuru,9,Business,13kg,Morning,Charcoal,92,Low Users
Michael Kiptoo,michael.kiptoo18gmail.com,254791309124,Male,Nairobi,7,House,13kg,Morning,Charcoal,117,Low Users
Grace Achieng,grace.achieng86@@gmail.com,254759198091,Female,Taita Taveta,8,Apartment,50kg,Evening,Firewood,31,Heavy Users
John Muriuki,john.muriuki8gmail.com,254724695195,Female,Nyamira,4,Business,13kg,Morning,Firewood,85,Regular Users
Peter Achieng,peter.achieng77gmail.com,254796389787,Female,Kakamega,4,House,13kg,Morning,Firewood,77,Regular Users
Mercy Mugo,mercy.mugo30@@gmail.com,254744007404,Male,Taita Taveta,6,Business,13kg,Afternoon,Charcoal,148,At-Risk
Ruth Mwangi,"ruth.mwangi39@gmail.com,",254706132397,Male,Wajir,3,Bedsitter,13kg,Afternoon,Charcoal,79,Regular Users
James Mutua,james.mutua2@@gmail.com,254762644536,Male,Nakuru,1,Apartment,13kg,Afternoon,Charcoal,133,At-Risk
John Omondi,john.omondi54@@gmail.com,254716106723,Male,West Pokot,6,Bedsitter,13kg,Afternoon,Charcoal,133,At-Risk
Mary Kibet,"mary.kibet60@gmail.com,",254700596095,Male,Lamu,2,House,6kg,Morning,Electricity,108,Low Users
Lilian Kiptoo,lilian.kiptoo74gmail.com,254730733284,Male,Siaya,1,Business,6kg,Evening,Firewood,41,Heavy Users
Michael Kibet,michael.kibet64@gmail,254712833123,Female,Machakos,5,Bedsitter,Other,Evening,Firewood,127,At-Risk
Lilian Kimani,lilian.kimani69gmail.com,254785048930,Female,Busia,10,House,13kg,Afternoon,Charcoal,90,Regular Users
Agnes Njoroge,agnes.njoroge99@gmail,254734436864,Male,West Pokot,5,Apartment,13kg,Afternoon,Electricity,43,Heavy Users
David Cheruiyot,david.cheruiyot28@gmail,254700938688,Female,Kiambu,2,Bedsitter,13kg,Evening,Charcoal,66,Regular Users
Esther Muriuki,esther.muriuki36gmail.com,254780118855,Male,Nakuru,10,Business,6kg,Evening,Charcoal,132,At-Risk
Michael Mutua,michael.mutua12@gmail,254756033743,Male,Marsabit,2,House,13kg,Morning,Electricity,88,Regular Users
Jane Kiptoo,jane.kiptoo62@@gmail.com,254743669888,Male,Nairobi,10,Apartment,Other,Afternoon,None,145,At-Risk
Mercy Kuria,mercy.kuria12gmail.com,254757233367,Female,Marsabit,3,Business,6kg,Morning,Charcoal,105,Low Users
Mark Maina,"mark.maina67@gmail.com,",254769497248,Male,Migori,5,Apartment,13kg,Evening,Charcoal,117,Low Users
Susan Achieng,susan.achieng75@@gmail.com,254717459792,Male,Busia,5,Apartment,13kg,Afternoon,Electricity,25,Heavy Users
Mercy Ngugi,mercy.ngugi70@@gmail.com,254725384955,Male,Nairobi,3,Business,13kg,Evening,Kerosene,66,Regular Users
David Ngugi,david.ngugi34@gmail,254710275057,Male,Kwale,7,Bedsitter,13kg,Evening,Firewood,123,At-Risk
Jane Cheruiyot,jane.cheruiyot18gmail.com,254752396610,Female,Busia,2,Business,13kg,Afternoon,Charcoal,78,Regular Users
Jane Kamau,jane.kamau80gmail.com,254787950836,Female,Taita Taveta,8,House,13kg,Morning,None,140,At-Risk
Michael Muriuki,michael.muriuki40@gmail,254714723426,Male,Muranga,7,Business,13kg,Evening,Electricity,49,Regular Users
Lilian Otieno,"lilian.otieno28@gmail.com,",254745369704,Male,Kakamega,10,Bedsitter,13kg,Afternoon,Charcoal,101,Low Users
Lilian Mugo,lilian.mugo8@@gmail.com,254716628332,Female,West Pokot,10,Apartment,13kg,Afternoon,Kerosene,94,Low Users
Grace Mugo,grace.mugo15@gmail,254735503866,Male,Wajir,1,Bedsitter,13kg,Afternoon,Charcoal,54,Regular Users
Daniel Mugo,daniel.mugo79@@gmail.com,254718158221,Male,Kilifi,6,Bedsitter,13kg,Evening,Charcoal,132,At-Risk
John Achieng,john.achieng45gmail.com,254716801264,Male,Busia,6,Bedsitter,Other,Morning,Firewood,87,Regular Users
Mark Achieng,"mark.achieng63@gmail.com,",254780289606,Male,Kericho,10,Bedsitter,13kg,Morning,Charcoal,54,Regular Users
Faith Mugo,faith.mugo93gmail.com,254735643506,Female,Migori,1,House,13kg,Evening,Electricity,34,Heavy Users
Grace Maina,grace.maina92@gmail,254702510149,Female,Kajiado,5,Bedsitter,6kg,Morning,Charcoal,25,Heavy Users
John Kimani,john.kimani75@gmail,254799265620,Male,Taita Taveta,6,Apartment,13kg,Morning,None,103,Low Users
Ruth Kimani,"ruth.kimani20@gmail.com,",254733839610,Male,Muranga,10,House,13kg,Morning,Firewood,125,At-Risk
Michael Ngugi,michael.ngugi35@gmail,254703063714,Female,Kilifi,4,Bedsitter,13kg,Evening,Charcoal,127,At-Risk
Lilian Omondi,lilian.omondi89gmail.com,254726430432,Male,Uasin Gishu,8,Apartment,13kg,Afternoon,Kerosene,91,Low Users
Ruth Kuria,ruth.kuria74@gmail,254798833591,Male,Laikipia,10,House,13kg,Morning,Firewood,31,Heavy Users
Faith Kuria,faith.kuria22gmail.com,254701817894,Female,Nyeri,2,Business,13kg,Morning,Charcoal,70,Regular Users
Ruth Kuria,ruth.kuria86@gmail,254777331488,Male,Nairobi,6,Bedsitter,13kg,Afternoon,Electricity,21,Heavy Users
Mary Kimani,mary.kimani65@gmail,254721217639,Female,Kwale,1,Apartment,Other,Afternoon,Kerosene,94,Low Users
Robert Mutua,robert.mutua76@@gmail.com,254703439560,Female,Kisii,3,Bedsitter,13kg,Morning,Electricity,26,Heavy Users
Mercy Kamau,mercy.kamau99@@gmail.com,254761475148,Male,Taita Taveta,7,Apartment,13kg,Morning,Charcoal,75,Regular Users
John Mutua,john.mutua88gmail.com,254750197169,Male,Samburu,6,Apartment,Other,Evening,Charcoal,107,Low Users
James Cheruiyot,james.cheruiyot41@gmail,254789562241,Male,Garissa,8,Bedsitter,13kg,Afternoon,Firewood,86,Regular Users
Ruth Maina,"ruth.maina12@gmail.com,",254712637601,Male,Elgeyo Marakwet,2,Apartment,13kg,Morning,Firewood,120,Low Users
Mercy Maina,"mercy.maina51@gmail.com,",254764494116,Male,Nakuru,7,House,13kg,Evening,Charcoal,132,At-Risk
Daniel Onyango,daniel.onyango75@gmail,254716090800,Female,Nairobi,4,Business,13kg,Morning,Firewood,128,At-Risk
Mercy Onyango,mercy.onyango25@@gmail.com,254789263883,Male,Tharaka Nithi,9,Business,13kg,Morning,Charcoal,61,Regular Users
Esther Mugo,esther.mugo1gmail.com,254712792267,Male,Samburu,9,House,Other,Evening,Firewood,73,Regular Users
Jane Achieng,"jane.achieng92@gmail.com,",254730983669,Male,Uasin Gishu,7,Bedsitter,50kg,Morning,Firewood,100,Low Users
Peter Muriuki,peter.muriuki69@gmail,254749436099,Male,Baringo,10,Bedsitter,13kg,Afternoon,Firewood,88,Regular Users
Jane Ngugi,jane.ngugi36gmail.com,254792891124,Female,Mombasa,10,House,13kg,Evening,Firewood,50,Regular Users
Esther Kuria,"esther.kuria69@gmail.com,",254708801080,Female,Tana River,1,Apartment,50kg,Afternoon,None,42,Heavy Users
Faith Kiptoo,"faith.kiptoo67@gmail.com,",254768926787,Male,Kajiado,4,Business,13kg,Evening,Charcoal,29,Heavy Users
Joseph Achieng,joseph.achieng5gmail.com,254701351409,Female,Trans Nzoia,1,Apartment,6kg,Morning,Firewood,83,Regular Users
James Achieng,james.achieng88gmail.com,254752833211,Male,Bomet,1,House,13kg,Morning,None,126,At-Risk
Agnes Maina,agnes.maina4gmail.com,254778250904,Male,Mombasa,4,Apartment,13kg,Evening,Firewood,127,At-Risk
Susan Kamau,susan.kamau50@@gmail.com,254755981355,Male,Lamu,3,Business,13kg,Evening,Firewood,35,Heavy Users
Mark Kiptoo,mark.kiptoo82@@gmail.com,254775184279,Female,Nyeri,10,Apartment,50kg,Afternoon,Firewood,26,Heavy Users
David Omondi,"david.omondi21@gmail.com,",254715525272,Female,Uasin Gishu,2,House,13kg,Afternoon,None,121,At-Risk
Susan Onyango,susan.onyango21@@gmail.com,254738083958,Male,Kisumu,5,Bedsitter,13kg,Morning,Electricity,84,Regular Users
Mark Ngugi,mark.ngugi54gmail.com,254772756392,Female,Nakuru,5,Business,13kg,Afternoon,Charcoal,35,Heavy Users
Faith Omondi,faith.omondi48gmail.com,254700354844,Female,Isiolo,3,Apartment,13kg,Evening,Electricity,136,At-Risk
James Maina,james.maina63gmail.com,254789985821,Male,Laikipia,4,Business,13kg,Afternoon,Charcoal,75,Regular Users
Faith Njoroge,faith.njoroge24@@gmail.com,254715167954,Female,Nairobi,7,Business,13kg,Evening,Firewood,94,Low Users
Susan Kiptoo,susan.kiptoo50@@gmail.com,254717356381,Male,Nairobi,2,Bedsitter,13kg,Morning,None,36,Heavy Users
Jane Maina,"jane.maina1@gmail.com,",254734542424,Male,Nakuru,5,Business,13kg,Evening,Charcoal,125,At-Risk
Ruth Kamau,"ruth.kamau82@gmail.com,",254709629269,Male,Machakos,4,Apartment,13kg,Morning,Charcoal,24,Heavy Users
Susan Muriuki,susan.muriuki12@@gmail.com,254797048833,Male,West Pokot,3,House,6kg,Afternoon,Charcoal,97,Low Users
Paul Otieno,paul.otieno17@@gmail.com,254732598861,Male,Embu,6,Apartment,13kg,Afternoon,Kerosene,105,Low Users
Esther Maina,esther.maina7@@gmail.com,254737137215,Female,Nyeri,1,Bedsitter,Other,Morning,Charcoal,108,Low Users
James Kamau,"james.kamau57@gmail.com,",254779862501,Female,Kilifi,4,Business,13kg,Afternoon,Charcoal,113,Low Users
Mary Muriuki,"mary.muriuki55@gmail.com,",254767412498,Male,Bomet,9,House,Other,Evening,None,87,Regular Users
Lilian Achieng,"lilian.achieng56@gmail.com,",254722693530,Female,Bungoma,9,Business,13kg,Afternoon,Firewood,148,At-Risk
Lilian Karanja,lilian.karanja43@gmail,254736842712,Female,Nakuru,1,Bedsitter,Other,Evening,Charcoal,43,Heavy Users
Grace Mwangi,grace.mwangi83@gmail,254719859414,Male,Muranga,5,House,50kg,Morning,None,42,Heavy Users
Daniel Kuria,daniel.kuria95gmail.com,254716441783,Male,Isiolo,3,Business,13kg,Morning,Electricity,35,Heavy Users
Jane Kibet,jane.kibet77@@gmail.com,254772110696,Female,Kericho,6,Bedsitter,Other,Afternoon,Kerosene,55,Regular Users
Lilian Achieng,lilian.achieng26@@gmail.com,254750001488,Female,Uasin Gishu,3,Apartment,13kg,Morning,Charcoal,82,Regular Users
Daniel Cheruiyot,"daniel.cheruiyot84@gmail.com,",254795383090,Male,Elgeyo Marakwet,10,Business,13kg,Morning,Firewood,115,Low Users
Jane Muriuki,jane.muriuki80@@gmail.com,254717164644,Male,Vihiga,7,Business,13kg,Afternoon,Firewood,140,At-Risk
James Kuria,"james.kuria33@gmail.com,",254790915024,Male,Laikipia,9,Bedsitter,13kg,Evening,Charcoal,99,Low Users
Grace Karanja,grace.karanja60gmail.com,254793384201,Male,Siaya,2,Bedsitter,6kg,Afternoon,Charcoal,134,At-Risk
Lilian Ngugi,lilian.ngugi2@gmail,254719345193,Male,Samburu,3,Apartment,Other,Evening,Charcoal,35,Heavy Users
David Onyango,david.onyango85@gmail,254739307886,Female,Narok,10,House,13kg,Afternoon,Firewood,66,Regular Users
Jane Karanja,jane.karanja20@gmail,254757753391,Male,Nyandarua,3,House,13kg,Evening,Electricity,147,At-Risk
Jane Njoroge,"jane.njoroge47@gmail.com,",254741922230,Female,Nairobi,2,Bedsitter,13kg,Morning,Charcoal,54,Regular Users
Faith Ngugi,faith.ngugi90@gmail,254794400246,Male,Nyamira,4,Bedsitter,13kg,Evening,Kerosene,88,Regular Users
Susan Kibet,"susan.kibet77@gmail.com,",254709434348,Female,Nyeri,6,Bedsitter,13kg,Morning,Electricity,77,Regular Users
Lilian Kamau,lilian.kamau36@gmail,254733036605,Male,Elgeyo Marakwet,9,Bedsitter,13kg,Evening,Kerosene,56,Regular Users
Agnes Maina,agnes.maina51gmail.com,254721082111,Male,Kitui,4,House,50kg,Afternoon,Charcoal,148,At-Risk
David Ngugi,david.ngugi13@@gmail.com,254775065861,Female,Nairobi,6,Bedsitter,50kg,Morning,Charcoal,102,Low Users
Susan Ngugi,susan.ngugi81gmail.com,254732382082,Female,Uasin Gishu,8,Apartment,6kg,Morning,None,125,At-Risk
Peter Karanja,"peter.karanja46@gmail.com,",254703733917,Male,Nakuru,9,Apartment,13kg,Morning,Electricity,137,At-Risk
Peter Mutua,peter.mutua56gmail.com,254769910186,Male,West Pokot,5,House,6kg,Afternoon,Electricity,126,At-Risk
Grace Kibet,"grace.kibet78@gmail.com,",254798620434,Male,Trans Nzoia,10,House,13kg,Evening,Firewood,45,Heavy Users
Ruth Njoroge,"ruth.njoroge2@gmail.com,",254792628328,Male,Samburu,2,House,13kg,Afternoon,Firewood,76,Regular Users
Grace Mutua,grace.mutua12@@gmail.com,254715642432,Male,Garissa,2,Business,50kg,Morning,None,77,Regular Users
Susan Mugo,susan.mugo34@@gmail.com,254788330661,Female,Nakuru,3,Apartment,50kg,Evening,Electricity,63,Regular Users
Mercy Kimani,mercy.kimani48@gmail,254714028584,Male,Kisii,7,Apartment,6kg,Evening,Firewood,109,Low Users
Susan Ngugi,susan.ngugi96@gmail,254775982094,Male,Lamu,5,Business,50kg,Evening,Electricity,73,Regular Users
John Otieno,"john.otieno72@gmail.com,",254790386789,Male,Vihiga,7,Apartment,13kg,Morning,Charcoal,81,Regular Users
Michael Achieng,"michael.achieng13@gmail.com,",254710728792,Female,Wajir,6,Apartment,13kg,Afternoon,Charcoal,123,At-Risk
Agnes Njoroge,agnes.njoroge77@gmail,254719544550,Female,Kirinyaga,7,Bedsitter,13kg,Evening,None,54,Regular Users
Susan Karanja,susan.karanja76@gmail,254755621941,Female,Siaya,2,House,13kg,Afternoon,None,106,Low Users
Susan Cheruiyot,susan.cheruiyot57@gmail,254705675716,Female,Kisii,9,Bedsitter,13kg,Afternoon,Electricity,138,At-Risk
Agnes Muriuki,agnes.muriuki60gmail.com,254756846837,Female,Nyamira,3,Business,13kg,Evening,Charcoal,129,At-Risk
Susan Muriuki,"susan.muriuki74@gmail.com,",254791323894,Male,Narok,10,Apartment,13kg,Afternoon,Charcoal,71,Regular Users
Agnes Cheruiyot,"agnes.cheruiyot73@gmail.com,",254723723238,Female,Siaya,4,Apartment,6kg,Morning,Firewood,59,Regular Users
Mark Ngugi,"mark.ngugi11@gmail.com,",254712089956,Female,Nairobi,6,Bedsitter,Other,Morning,Electricity,34,Heavy Users
Mark Cheruiyot,mark.cheruiyot43gmail.com,254747529615,Male,Kwale,5,Apartment,Other,Evening,Electricity,100,Low Users
Jane Omondi,"jane.omondi16@gmail.com,",254759287910,Male,Taita Taveta,4,House,13kg,Morning,None,51,Regular Users
