Name,Email,Phone,Gender,County,Household_Size,Residence_Category,Cylinder_Size,Delivery_Time,Other_Fuel_Usage,Average_Usage_Days,Usage_Segment
Peter Cheruiyot,peter.cheruiyot21@gmail.com,254732686563,Male,Nyeri,2,Bedsitter,6kg,Evening,Firewood,41,Heavy Users
Peter Maina,peter.maina67@gmail.com,254794811311,Female,Embu,1,House,13kg,Morning,Kerosene,108,Low Users
Peter Omondi,peter.omondi69@gmail.com,254789751402,Male,Kiambu,2,Bedsitter,Other,Evening,Charcoal,68,Regular Users
Jane Kamau,jane.kamau9@gmail.com,254741705864,Male,Nakuru,1,House,Other,Morning,Charcoal,78,Regular Users
Ruth Kuria,ruth.kuria68@gmail.com,254734782450,Female,Nairobi,1,Apartment,6kg,Evening,Firewood,34,Heavy Users
Esther Mugo,esther.mugo14@gmail.com,254767868433,Male,Nyandarua,3,Business,Other,Morning,Kerosene,70,Regular Users
Paul Muriuki,paul.muriuki21@gmail.com,254701684934,Female,Kilifi,3,House,13kg,Morning,Charcoal,127,At-Risk
Esther Mwangi,esther.mwangi40@gmail.com,254735205617,Male,Kitui,4,House,13kg,Morning,Charcoal,74,Regular Users
Peter Mwangi,peter.mwangi51@gmail.com,254704431982,Female,Narok,10,Business,13kg,Evening,None,83,Regular Users
Jane Omondi,jane.omondi6@gmail.com,254786828890,Male,Siaya,10,House,6kg,Morning,Charcoal,70,Regular Users
Peter Mugo,peter.mugo72@gmail.com,254700837407,Female,Busia,9,Apartment,13kg,Morning,Electricity,40,Heavy Users
John Achieng,john.achieng31@gmail.com,254733776174,Female,Vihiga,10,House,6kg,Morning,Charcoal,92,Low Users
Jane Omondi,jane.omondi2@gmail.com,254770741374,Male,Kericho,5,Business,13kg,Morning,None,37,Heavy Users
Ruth Kimani,ruth.kimani61@gmail.com,254704718746,Female,Isiolo,4,Apartment,13kg,Morning,Electricity,108,Low Users
Michael Ngugi,michael.ngugi36@gmail.com,254715377602,Female,Mombasa,8,Business,13kg,Evening,Charcoal,79,Regular Users
Daniel Njoroge,daniel.njoroge43@gmail.com,254705561304,Female,Embu,2,Business,13kg,Evening,Charcoal,33,Heavy Users
Mary Achieng,mary.achieng14@gmail.com,254704234685,Male,Marsabit,6,Business,50kg,Evening,Firewood,28,Heavy Users
John Mwangi,john.mwangi94@gmail.com,254767924708,Female,Garissa,8,Business,13kg,Afternoon,Charcoal,109,Low Users
Peter Kamau,peter.kamau39@gmail.com,254778612213,Female,Trans Nzoia,8,House,13kg,Afternoon,None,72,Regular Users
Michael Kibet,michael.kibet25@gmail.com,254731258153,Female,Kirinyaga,10,House,50kg,Evening,None,149,At-Risk
Mark Mutua,mark.mutua49@gmail.com,254745074952,Female,Kajiado,9,House,6kg,Morning,Charcoal,103,Low Users
Faith Kuria,faith.kuria3@gmail.com,254720679701,Male,Muranga,9,Business,Other,Morning,Electricity,111,Low Users
Michael Ngugi,michael.ngugi88@gmail.com,254717180023,Female,Nandi,1,Bedsitter,Other,Evening,Charcoal,130,At-Risk
Lilian Njoroge,lilian.njoroge10@gmail.com,254748936439,Male,Mombasa,9,Bedsitter,Other,Afternoon,None,27,Heavy Users
Agnes Ngugi,agnes.ngugi31@gmail.com,254783064003,Male,Samburu,7,Apartment,13kg,Evening,Firewood,54,Regular Users
Agnes Mwangi,agnes.mwangi90@gmail.com,254756563048,Female,Tana River,8,House,13kg,Morning,Charcoal,100,Low Users
Ruth Njoroge,ruth.njoroge80@gmail.com,254779237609,Male,Wajir,7,Apartment,13kg,Evening,Charcoal,69,Regular Users
Grace Karanja,grace.karanja58@gmail.com,254751125328,Female,Kakamega,1,Bedsitter,13kg,Afternoon,Kerosene,123,At-Risk
Grace Njoroge,grace.njoroge1@gmail.com,254714156183,Female,Kirinyaga,5,Business,6kg,Evening,Firewood,21,Heavy Users
David Maina,david.maina47@gmail.com,254770636060,Female,West Pokot,1,Bedsitter,13kg,Morning,None,73,Regular Users
Paul Maina,paul.maina79@gmail.com,254704544091,Female,Kwale,4,Apartment,13kg,Afternoon,None,125,At-Risk
Faith Cheruiyot,faith.cheruiyot17@gmail.com,254772042935,Female,Homa Bay,8,Bedsitter,13kg,Evening,Charcoal,23,Heavy Users
Grace Kamau,grace.kamau53@gmail.com,254710788526,Female,Migori,2,Bedsitter,13kg,Morning,Charcoal,73,Regular Users
Grace Kamau,grace.kamau18@gmail.com,254767938144,Male,Kitui,5,Bedsitter,13kg,Afternoon,Charcoal,63,Regular Users
Esther Kamau,esther.kamau20@gmial.com,254749351643,Male,Trans Nzoia,4,Apartment,13kg,Morning,Charcoal,33,Heavy Users
Joseph Onyango,joseph.onyango6@gmail.com,254743103993,Male,Nairobi,6,House,13kg,Afternoon,Electricity,114,Low Users
Lilian Onyango,lilian.onyango28@gmail.com,254705520340,Female,Laikipia,4,Apartment,50kg,Afternoon,Electricity,67,Regular Users
John Mutua,john.mutua5@gmail.com,254778716168,Female,Mandera,9,Apartment,13kg,Afternoon,Electricity,34,Heavy Users
Ruth Muriuki,ruth.muriuki7@gmail.com,254749566053,Male,Muranga,7,House,Other,Afternoon,None,59,Regular Users
John Karanja,john.karanja74@gmail.com,254757220082,Male,Nakuru,7,Apartment,13kg,Afternoon,Electricity,101,Low Users
Mercy Kuria,mercy.kuria21@gmail.com,254782116734,Male,Garissa,1,Business,13kg,Evening,None,130,At-Risk
Jane Kiptoo,jane.kiptoo82@gmail.com,254739693729,Male,Meru,7,House,13kg,Morning,Charcoal,72,Regular Users
Mary Kibet,mary.kibet97@gmail.com,254705169784,Female,Nakuru,5,House,13kg,Evening,Charcoal,43,Heavy Users
Grace Otieno,grace.otieno1@gmail.com,254797737972,Female,Siaya,7,Apartment,6kg,Afternoon,Firewood,143,At-Risk
Mark Ngugi,mark.ngugi85@gmail.com,254700215810,Male,Vihiga,7,House,6kg,Morning,None,60,Regular Users
David Omondi,david.omondi63@gmail.com,254742315942,Female,Makueni,10,Bedsitter,Other,Afternoon,Charcoal,34,Heavy Users
David Achieng,david.achieng79@gmail.com,254783550326,Male,Mandera,5,Bedsitter,50kg,Morning,Electricity,64,Regular Users
Mark Mwangi,mark.mwangi82@gmail.com,254757889148,Female,Nakuru,7,Bedsitter,13kg,Afternoon,Firewood,84,Regular Users
John Mugo,john.mugo30@gmail.com,254729048449,Female,Nairobi,6,Apartment,13kg,Morning,Charcoal,108,Low Users
Faith Ngugi,faith.ngugi47@gmail.com,254702739000,Female,Mombasa,6,Bedsitter,6kg,Afternoon,Firewood,90,Regular Users
Robert Omondi,robert.omondi27@gmail.com,254759722032,Male,Turkana,2,House,50kg,Afternoon,Firewood,28,Heavy Users
Mary Kibet,mary.kibet45@gmail.com,254799798732,Male,Kisii,1,Apartment,13kg,Afternoon,Charcoal,107,Low Users
Lilian Otieno,lilian.otieno79@gmail.com,254783263898,Female,Nakuru,7,House,13kg,Morning,Charcoal,148,At-Risk
Susan Otieno,susan.otieno49@gmail.com,254767172314,Male,Tharaka Nithi,1,Apartment,13kg,Evening,None,82,Regular Users
Paul Kibet,paul.kibet87@gmail.com,254768443180,Female,Mandera,4,House,Other,Evening,None,100,Low Users
Daniel Kamau,daniel.kamau49@gmail.com,254787780063,Male,Nandi,5,House,13kg,Evening,Charcoal,52,Regular Users
Mary Otieno,mary.otieno15@gmail.com,254719252000,Male,Wajir,1,Apartment,13kg,Morning,None,142,At-Risk
Susan Kimani,susan.kimani97@gmail.com,254761333100,Male,Nairobi,2,Bedsitter,13kg,Morning,Charcoal,24,Heavy Users
Ruth Maina,ruth.maina44@gmail,254764054405,Male,Nyamira,10,Business,50kg,Evening,Electricity,60,Regular Users
Faith Ngugi,faith.ngugi99@gmail.com,254715708931,Male,Nandi,5,House,13kg,Evening,Charcoal,47,Regular Users
Mercy Cheruiyot,mercy.cheruiyot13@gmail.com,254772795849,Male,Nairobi,5,House,Other,Morning,Firewood,91,Low Users
Agnes Kibet,agnes.kibet14@gmail.com,254755166160,Male,Kirinyaga,5,Bedsitter,13kg,Evening,Firewood,31,Heavy Users
Joseph Omondi,joseph.omondi69@gmail.com,254799059582,Male,Migori,8,Bedsitter,13kg,Afternoon,Electricity,52,Regular Users
Michael Maina,michael.maina60@gmail.com,254738344922,Male,Nairobi,6,Bedsitter,13kg,Afternoon,None,67,Regular Users
Grace Njoroge,grace.njoroge26@gmail.com,254762244643,Female,Taita Taveta,2,Bedsitter,13kg,Afternoon,Firewood,81,Regular Users
Faith Kamau,faith.kamau65@gmail.com,254747024960,Male,Kakamega,7,Business,50kg,Evening,Electricity,56,Regular Users
Grace Njoroge,grace.njoroge59@gmail.com,254765416362,Male,Embu,7,Business,13kg,Evening,None,118,Low Users
Daniel Otieno,daniel.otieno50@gmail.com,254771048323,Female,Trans Nzoia,2,Business,13kg,Evening,Firewood,123,At-Risk
Mark Maina,mark.maina53@gmail.com,254773268195,Female,Nakuru,5,Bedsitter,13kg,Morning,Charcoal,54,Regular Users
Mercy Achieng,mercy.achieng14@gmail.com,254734683673,Female,Mandera,2,House,13kg,Evening,Electricity,120,Low Users
Faith Mugo,faith.mugo38@gmail.com,254782753464,Male,Nairobi,3,Business,6kg,Evening,Electricity,20,Heavy Users
Ruth Maina,ruth.maina62@gmail.com,254776915246,Male,Kilifi,10,Bedsitter,13kg,Morning,Firewood,24,Heavy Users
James Mutua,james.mutua10@gmail.com,254744919232,Male,Bungoma,6,House,13kg,Afternoon,Electricity,122,At-Risk
Susan Kuria,susan.kuria26@gmail.com,254773817181,Male,Embu,4,House,13kg,Evening,Charcoal,46,Regular Users
Agnes Kamau,agnes.kamau64@gmail.com,254728902579,Male,Samburu,5,Business,13kg,Afternoon,None,34,Heavy Users
Grace Onyango,grace.onyango82@gmail.com,254700905187,Male,Samburu,3,Apartment,13kg,Afternoon,Electricity,109,Low Users
Mercy Maina,mercy.maina61@gmail.com,254788346564,Female,Elgeyo Marakwet,5,Bedsitter,13kg,Afternoon,Firewood,61,Regular Users
Mark Onyango,mark.onyango27@gmail.com,254771535429,Male,Nairobi,2,Apartment,13kg,Evening,None,143,At-Risk
Peter Kuria,peter.kuria14@gmail.com,254700379088,Male,Laikipia,10,House,13kg,Evening,Electricity,82,Regular Users
David Mwangi,david.mwangi86@gmail.com,254772120610,Female,Kirinyaga,3,Bedsitter,13kg,Afternoon,None,115,Low Users
Mary Maina,mary.maina3@gmail.com,254769907980,Male,Siaya,7,Business,13kg,Morning,Electricity,71,Regular Users
Agnes Muriuki,agnes.muriuki71@gmail.com,254711732060,Female,Mombasa,2,Apartment,13kg,Morning,Charcoal,115,Low Users
Robert Kamau,robert.kamau58@gmail.com,254720521487,Male,Turkana,5,Apartment,13kg,Morning,Charcoal,48,Regular Users
Peter Kuria,peter.kuria40@gmail.com,254792790559,Male,Bomet,8,House,6kg,Morning,Charcoal,55,Regular Users
Faith Cheruiyot,faith.cheruiyot50@gmail.com,254774954409,Female,Nairobi,10,Bedsitter,50kg,Evening,None,32,Heavy Users
Robert Muriuki,robert.muriuki32@gmail.com,254766693740,Male,Makueni,5,Business,13kg,Morning,Charcoal,90,Regular Users
Paul Kibet,paul.kibet88@gmail.com,254775818876,Male,Isiolo,4,Bedsitter,13kg,Evening,Charcoal,105,Low Users
Paul Otieno,paul.otieno50@gmail.com,254778185136,Male,Baringo,5,Bedsitter,13kg,Evening,Charcoal,47,Regular Users
John Kiptoo,john.kiptoo90@gmail.com,254745995682,Male,Tharaka Nithi,8,Bedsitter,50kg,Afternoon,Electricity,85,Regular Users
Daniel Otieno,daniel.otieno45@gmail.com,254748901039,Male,Samburu,10,House,13kg,Afternoon,Firewood,64,Regular Users
Paul Mwangi,paul.mwangi44@gmail.com,254732610008,Female,Kirinyaga,8,Business,Other,Morning,None,81,Regular Users
Lilian Kimani,lilian.kimani33@gmail.com,254759318627,Female,Homa Bay,6,House,Other,Morning,Charcoal,47,Regular Users
Mary Kibet,mary.kibet4@gmail.com,254704870125,Female,Vihiga,4,Bedsitter,13kg,Afternoon,Electricity,47,Regular Users
Daniel Onyango,daniel.onyango33@gmail.com,254761576273,Male,Busia,1,Business,13kg,Morning,Electricity,127,At-Risk
John Onyango,john.onyango96@gmail.com,254727160175,Male,Makueni,4,Business,6kg,Afternoon,Charcoal,63,Regular Users
Grace Mugo,grace.mugo71@gmail.com,254727246632,Female,Kwale,10,Bedsitter,13kg,Morning,Charcoal,103,Low Users
Joseph Cheruiyot,joseph.cheruiyot15@gmail.com,254728038741,Male,Embu,4,Bedsitter,13kg,Afternoon,None,49,Regular Users
Peter Kuria,peter.kuria54@gmail.com,254720420785,Female,Trans Nzoia,8,Apartment,13kg,Evening,Charcoal,94,Low Users
Mary Muriuki,mary.muriuki28@gmail.com,254749222832,Male,Isiolo,2,Apartment,50kg,Evening,Firewood,147,At-Risk
David Omondi,david.omondi79@gmail.com,254739430186,Male,Kisumu,1,Bedsitter,13kg,Evening,None,111,Low Users
James Muriuki,james.muriuki98@gmail.com,254772432950,Male,Mandera,6,Apartment,13kg,Afternoon,None,148,At-Risk
Mercy Kamau,mercy.kamau42@gmail.com,254769041778,Male,Kwale,9,House,6kg,Morning,Charcoal,140,At-Risk
Lilian Kuria,lilian.kuria33@gmail.com,254780013409,Male,Nakuru,8,House,13kg,Morning,Charcoal,46,Regular Users
Mary Achieng,mary.achieng16@gmail.com,254777984111,Female,Kiambu,3,House,50kg,Morning,Electricity,140,At-Risk
Grace Otieno,grace.otieno82@gmail.com,254766998060,Female,Bungoma,6,Business,13kg,Afternoon,Electricity,135,At-Risk
Peter Kibet,peter.kibet7@gmail.com,254758253605,Male,Taita Taveta,3,Apartment,13kg,Morning,Firewood,22,Heavy Users
Michael Muriuki,michael.muriuki51@gmail.com,254770009494,Male,Nakuru,1,Apartment,13kg,Evening,Charcoal,122,At-Risk
Ruth Njoroge,ruth.njoroge40@gmail.com,254752109841,Female,West Pokot,9,House,13kg,Evening,Charcoal,81,Regular Users
Robert Kuria,robert.kuria36@gmail.com,254731847993,Female,Nakuru,4,Bedsitter,13kg,Evening,Charcoal,70,Regular Users
Ruth Otieno,ruth.otieno32@gmail.com,254753388696,Female,Mombasa,6,House,50kg,Morning,Charcoal,78,Regular Users
Paul Kuria,paul.kuria28@gmail.com,254740028195,Male,Kiambu,1,Business,50kg,Afternoon,Electricity,137,At-Risk
Michael Muriuki,michael.muriuki44gmail.com,254752399481,Male,Kakamega,8,Bedsitter,13kg,Evening,Electricity,115,Low Users
Faith Njoroge,faith.njoroge1@gmail.com,254768917692,Female,Kiambu,5,Apartment,13kg,Afternoon,Electricity,132,At-Risk
Ruth Onyango,ruth.onyango51@gmail.com,254788965076,Male,Turkana,3,Bedsitter,50kg,Afternoon,Firewood,81,Regular Users
John Maina,john.maina42@gmail.com,254793536000,Female,Embu,8,Bedsitter,Other,Afternoon,Firewood,71,Regular Users
Peter Mugo,peter.mugo46@gmail.com,254709570183,Female,Taita Taveta,6,Business,13kg,Evening,Charcoal,31,Heavy Users
Agnes Karanja,agnes.karanja57@gmail.com,254799581255,Female,Kirinyaga,2,Bedsitter,13kg,Morning,Electricity,58,Regular Users
Mark Muriuki,mark.muriuki81@gmail.com,254728483836,Female,Marsabit,10,Apartment,13kg,Evening,Electricity,149,At-Risk
James Otieno,james.otieno40gmail.com,254780461900,Male,Isiolo,8,Bedsitter,50kg,Evening,Firewood,132,At-Risk
Faith Njoroge,faith.njoroge19@gmail.com,254728810112,Female,Nairobi,8,Business,13kg,Morning,Electricity,120,Low Users
Michael Kamau,michael.kamau46@gmail.com,254742041915,Male,Marsabit,10,Business,6kg,Morning,None,132,At-Risk
Joseph Mwangi,joseph.mwangi80@gmail.com,254733302925,Male,Mombasa,8,Bedsitter,13kg,Afternoon,None,100,Low Users
Esther Karanja,esther.karanja87@gmail.com,254793646703,Female,Lamu,3,Bedsitter,13kg,Morning,None,132,At-Risk
Susan Onyango,susan.onyango15@gmail.com,254758656116,Female,Siaya,6,House,13kg,Afternoon,Charcoal,21,Heavy Users
Mary Achieng,mary.achieng86@gmail.com,254705232134,Male,Elgeyo Marakwet,3,Business,13kg,Morning,Charcoal,149,At-Risk
Peter Karanja,"peter.karanja81@gmail.com,",254793478337,Male,Kajiado,5,Business,13kg,Afternoon,Firewood,73,Regular Users
Michael Njoroge,michael.njoroge87@gmail.com,254781846092,Male,Makueni,7,Apartment,13kg,Morning,Charcoal,106,Low Users
John Kibet,john.kibet47@gmail.com,254784314134,Male,Garissa,7,Bedsitter,13kg,Afternoon,Electricity,148,At-Risk
Paul Kiptoo,paul.kiptoo4@gmail.com,254755607365,Male,Nyamira,2,House,13kg,Afternoon,None,145,At-Risk
Mary Karanja,mary.karanja6@gmail.com,254792634260,Female,Elgeyo Marakwet,3,House,13kg,Evening,Firewood,149,At-Risk
James Njoroge,james.njoroge98@gmail.com,254740990310,Female,Busia,4,Bedsitter,13kg,Morning,Firewood,72,Regular Users
Jane Kamau,jane.kamau36@gmail.com,254781567587,Male,Trans Nzoia,4,Business,13kg,Morning,Firewood,87,Regular Users
Susan Achieng,susan.achieng23@gmail.com,254782384302,Female,Nyeri,7,Apartment,13kg,Afternoon,Charcoal,142,At-Risk
Agnes Kamau,agnes.kamau91@gmail.com,254730872542,Male,Kisii,3,House,13kg,Morning,Firewood,57,Regular Users
Jane Mugo,jane.mugo99@gmail.com,254763140573,Male,Kilifi,5,Bedsitter,13kg,Evening,Charcoal,43,Heavy Users
Daniel Mugo,daniel.mugo60@gmail.com,254795428100,Female,West Pokot,8,Apartment,13kg,Afternoon,None,88,Regular Users
Lilian Cheruiyot,lilian.cheruiyot56@gmail.com,254773850514,Male,Nakuru,5,House,6kg,Evening,Charcoal,135,At-Risk
Ruth Onyango,ruth.onyango24@gmail.com,254782149562,Female,Nakuru,6,Bedsitter,13kg,Morning,Firewood,117,Low Users
Esther Mwangi,esther.mwangi6@gmail.com,254719603767,Female,Bomet,5,Apartment,6kg,Morning,Charcoal,116,Low Users
John Mwangi,john.mwangi57@gmail.com,254773350098,Male,Kiambu,5,Apartment,13kg,Evening,Electricity,143,At-Risk
Joseph Otieno,joseph.otieno86@gmail.com,254722640795,Male,Nandi,8,Apartment,13kg,Evening,Firewood,89,Regular Users
Peter Kimani,peter.kimani8@@gmail.com,254759499657,Male,Narok,3,Bedsitter,50kg,Evening,None,112,Low Users
Esther Mugo,esther.mugo89@gmail.com,254712958965,Male,Uasin Gishu,10,Business,13kg,Morning,Charcoal,22,Heavy Users
Esther Achieng,esther.achieng84@gmail.com,254713847387,Male,Meru,10,Apartment,13kg,Evening,Firewood,109,Low Users
Joseph Omondi,joseph.omondi65@gmail.com,254788181768,Male,Mandera,4,Business,13kg,Morning,Charcoal,115,Low Users
Peter Kamau,peter.kamau7@gmail.com,254750093741,Female,Kericho,7,Apartment,13kg,Morning,Firewood,71,Regular Users
Grace Onyango,grace.onyango96@gmail.com,254750413588,Female,Nairobi,8,Apartment,50kg,Afternoon,Charcoal,147,At-Risk
Jane Njoroge,jane.njoroge5@gmail.com,254734537097,Female,Taita Taveta,1,Business,6kg,Afternoon,Charcoal,58,Regular Users
Peter Omondi,peter.omondi76@gmail.com,254748470052,Female,Samburu,8,Apartment,50kg,Morning,Charcoal,101,Low Users
Agnes Kiptoo,agnes.kiptoo89@gmail.com,254776398155,Female,Uasin Gishu,5,House,13kg,Morning,Charcoal,123,At-Risk
Daniel Mugo,daniel.mugo50@gmail.com,254755059753,Female,Kwale,8,Apartment,13kg,Evening,Electricity,148,At-Risk
Paul Kimani,paul.kimani65gmail.com,254745998920,Female,Nyamira,2,House,13kg,Evening,Firewood,30,Heavy Users
Ruth Kamau,ruth.kamau19@gmail.com,254714558358,Female,Bomet,6,Apartment,13kg,Evening,Charcoal,61,Regular Users
Esther Kamau,esther.kamau45@gmail.com,254722307676,Female,Nandi,5,House,13kg,Morning,Charcoal,118,Low Users
Robert Kibet,robert.kibet85@gmail.com,254751391924,Female,Baringo,8,Bedsitter,Other,Evening,Firewood,26,Heavy Users
Daniel Kiptoo,daniel.kiptoo36@gmail.com,254748024303,Male,Kilifi,8,House,50kg,Afternoon,None,109,Low Users
David Kamau,david.kamau94@gmail.com,254702901195,Female,Bomet,1,House,13kg,Evening,None,131,At-Risk
James Mutua,james.mutua42@gmail.com,254750769520,Female,Homa Bay,1,Apartment,13kg,Afternoon,Electricity,79,Regular Users
Paul Mugo,paul.mugo2@gmail.com,254705950695,Female,Mandera,1,House,13kg,Evening,Electricity,132,At-Risk
Mercy Muriuki,mercy.muriuki45@gmail.com,254789829953,Female,Kakamega,5,Business,13kg,Evening,Charcoal,21,Heavy Users
Susan Achieng,susan.achieng47@gmail.com,254788424087,Male,Taita Taveta,6,House,Other,Morning,Firewood,148,At-Risk
Jane Omondi,jane.omondi16@gmail.com,254708838249,Male,Kirinyaga,3,House,50kg,Morning,Firewood,67,Regular Users
Joseph Cheruiyot,joseph.cheruiyot28@gmail.com,254756735010,Male,Tana River,7,Bedsitter,6kg,Evening,Charcoal,56,Regular Users
James Achieng,"james.achieng3@gmail.com,",254746335356,Female,Nakuru,5,Business,13kg,Evening,Electricity,28,Heavy Users
Michael Kuria,michael.kuria37@gmail.com,254715073259,Female,Laikipia,8,House,13kg,Morning,None,118,Low Users
Mary Mugo,mary.mugo24@gmail.com,254762401202,Male,Nyamira,3,Bedsitter,6kg,Morning,Firewood,67,Regular Users
Faith Maina,faith.maina83@gmail.com,254765093300,Male,Wajir,10,House,13kg,Evening,Charcoal,73,Regular Users
Daniel Kimani,"daniel.kimani15@gmail.com,",254717286023,Female,Kajiado,3,Apartment,13kg,Afternoon,None,139,At-Risk
David Kamau,david.kamau94@gmial.com,254714204410,Male,Isiolo,1,Business,13kg,Afternoon,Charcoal,135,At-Risk
Joseph Kibet,joseph.kibet37@gmail.com,254785646658,Male,Kiambu,3,Business,13kg,Afternoon,Kerosene,94,Low Users
Esther Ngugi,esther.ngugi33@gmail.com,254796331190,Female,Nyamira,1,Business,13kg,Afternoon,Electricity,132,At-Risk
Joseph Otieno,joseph.otieno61@gmail.com,254778598636,Female,Nyeri,2,Business,Other,Afternoon,Electricity,123,At-Risk
John Kibet,john.kibet86@gmail.com,254739447589,Male,West Pokot,4,House,6kg,Evening,Charcoal,103,Low Users
Mercy Kamau,mercy.kamau87@gmail.com,254722720565,Female,Kisumu,7,Apartment,13kg,Evening,Charcoal,131,At-Risk
Mercy Ngugi,mercy.ngugi67@gmail.com,254747146471,Female,Turkana,8,House,13kg,Morning,Charcoal,118,Low Users
Agnes Ngugi,agnes.ngugi85@gmail.com,254739585640,Female,Elgeyo Marakwet,1,Bedsitter,6kg,Morning,Charcoal,112,Low Users
Daniel Achieng,daniel.achieng31@gmail.com,254747187132,Male,Kiambu,5,Bedsitter,Other,Evening,Firewood,147,At-Risk
Ruth Muriuki,ruth.muriuki56@gmail.com,254794536929,Male,Marsabit,10,Bedsitter,6kg,Morning,Charcoal,129,At-Risk
Joseph Karanja,joseph.karanja51@gmail.com,254786701997,Female,Nairobi,7,Business,Other,Morning,None,101,Low Users
Agnes Omondi,agnes.omondi66@gmail.com,254703368048,Male,Nyandarua,7,Business,6kg,Morning,Kerosene,73,Regular Users
Lilian Cheruiyot,lilian.cheruiyot12@gmail.com,254739703570,Female,Elgeyo Marakwet,7,House,Other,Morning,None,87,Regular Users
Daniel Mutua,daniel.mutua67@gmail.com,254702848415,Female,Kirinyaga,5,Business,13kg,Afternoon,Electricity,52,Regular Users
Esther Karanja,esther.karanja56@gmail.com,254784432038,Male,Nakuru,8,Business,13kg,Morning,Charcoal,40,Heavy Users
Joseph Kibet,joseph.kibet85@gmail.com,254705081695,Female,Kwale,4,Business,13kg,Evening,Charcoal,67,Regular Users
Peter Mugo,peter.mugo27@gmail.com,254730261021,Female,Siaya,8,House,6kg,Evening,Firewood,147,At-Risk
Esther Kuria,esther.kuria28@gmail.com,254782238171,Female,Isiolo,2,Apartment,13kg,Evening,Kerosene,147,At-Risk
Faith Omondi,faith.omondi8@gmail.com,254720274395,Male,Kericho,3,Bedsitter,Other,Afternoon,Firewood,52,Regular Users
Esther Karanja,esther.karanja5gmail.com,254756243813,Male,West Pokot,3,Business,13kg,Afternoon,Charcoal,134,At-Risk
David Ngugi,david.ngugi68@gmail.com,254714750713,Female,Samburu,5,Apartment,13kg,Afternoon,Charcoal,138,At-Risk
Mary Njoroge,mary.njoroge1@gmail.com,254753240255,Male,Turkana,4,Bedsitter,13kg,Morning,Charcoal,41,Heavy Users
Susan Mugo,susan.mugo13@gmail,254781296700,Female,Kilifi,10,Apartment,13kg,Evening,Charcoal,57,Regular Users
John Onyango,john.onyango94@gmail.com,254725215074,Male,Wajir,2,Apartment,50kg,Morning,Charcoal,128,At-Risk
Daniel Mugo,daniel.mugo32@gmail.com,254729808453,Male,Kitui,9,House,Other,Morning,Electricity,70,Regular Users
Lilian Otieno,lilian.otieno14@gmail,254707933122,Male,Kisumu,1,Business,13kg,Evening,Charcoal,27,Heavy Users
